,matchID,total kills,total deaths,total assists,Damage Dealt,Damage Taken,Summoner Avg Level,average levels,Total Gold Earned,#Assassins,#Fighters,#Mages,#Marksman,#Supports,#Tanks,WIN/LOSS?,win/loss cat
19,NA1_4166449340,26,46,58,63387,90217,1098,219.6,48052,2,2,2,1,1,1,0,LOSS
20,NA1_4166428052,18,14,56,32634,25608,1404,280.8,32638,1,1,3,2,1,0,1,WIN
21,NA1_4166428052,14,18,33,22039,34892,1331,266.2,28257,1,2,2,1,1,2,0,LOSS
22,NA1_4166475032,47,55,104,113491,142837,1578,315.6,69969,0,1,1,2,1,2,1,WIN
23,NA1_4166475032,55,47,118,124649,118908,1310,262,66924,2,1,2,3,1,0,0,LOSS
24,NA1_4164771873,27,20,79,52368,45385,1009,201.8,42139,2,1,2,2,1,0,1,WIN
25,NA1_4164771873,20,27,38,42015,55175,1099,219.8,39326,2,2,3,0,0,2,0,LOSS
26,NA1_4164707193,45,35,130,123112,119574,1458,291.6,67603,1,3,1,1,1,2,1,WIN
27,NA1_4164707193,35,45,83,109606,138521,1216,243.2,64175,3,4,0,1,0,1,0,LOSS
28,NA1_4164626185,58,38,135,138493,140309,874,174.8,78137,2,2,3,0,1,0,1,WIN
29,NA1_4164626185,38,58,69,130837,153822,1290,258,71939,2,2,3,1,1,1,0,LOSS
30,NA1_4163901752,41,24,107,100904,72687,595,119,56363,2,2,3,0,1,1,1,WIN
31,NA1_4163901752,24,41,54,64507,110720,1825,365,49808,1,3,1,2,0,2,0,LOSS
32,NA1_4163849237,64,48,118,129015,128682,927,185.4,75198,1,3,1,2,0,2,1,WIN
33,NA1_4163849237,48,64,104,117982,136092,768,153.6,69856,2,0,2,2,0,0,0,LOSS
34,NA1_4163838137,52,32,141,122820,96054,1536,307.2,61560,1,1,3,1,1,1,1,WIN
35,NA1_4163838137,31,52,70,89447,130313,1081,216.2,56509,2,0,2,2,1,1,0,LOSS
36,NA1_4163805465,48,45,125,141527,116584,1269,253.8,71788,0,0,3,3,0,0,1,WIN
37,NA1_4163805465,44,48,88,110661,152032,1336,267.2,69230,1,3,2,0,0,3,0,LOSS
38,NA1_4163755764,38,36,120,115557,133169,1041,208.2,63522,1,3,2,0,1,3,1,WIN
39,NA1_4163755764,36,38,117,119038,125995,1926,385.2,61101,3,2,1,1,2,1,0,LOSS
40,NA1_4162715469,45,33,87,78406,63896,1580,316,51820,2,2,0,2,0,0,1,WIN
41,NA1_4162715469,33,45,65,57134,81241,1043,208.6,45207,2,2,3,0,1,1,0,LOSS
42,NA1_4162712623,42,33,106,83520,75713,1032,206.4,52516,3,2,2,1,1,1,1,WIN
43,NA1_4162712623,33,42,76,63527,87012,2136,427.2,47561,2,5,0,0,1,2,0,LOSS
44,NA1_4162562818,55,38,125,166202,118152,1321,264.2,73155,0,3,3,1,0,2,1,WIN
45,NA1_4162562818,38,56,89,111649,177510,823,164.6,68040,1,3,2,0,0,3,0,LOSS
46,NA1_4162534806,69,56,164,186559,152200,1032,206.4,82606,0,1,3,1,2,2,1,WIN
47,NA1_4162534806,56,69,101,144706,197337,1018,203.6,78059,2,2,3,0,1,1,0,LOSS
48,NA1_4162439544,28,16,59,60669,54029,1098,219.6,51145,4,2,2,1,0,0,1,WIN
49,NA1_4162439544,16,28,36,46066,64441,1450,290,43307,2,2,3,0,1,0,0,LOSS
50,NA1_4162490402,36,18,91,56317,35689,1462,292.4,41033,2,1,2,1,2,0,1,WIN
51,NA1_4162490402,18,36,37,29089,59572,610,122,34064,3,2,0,3,1,0,0,LOSS
52,NA1_4162038481,61,54,128,150907,171335,1262,252.4,82698,3,2,2,1,1,1,1,WIN
53,NA1_4162038481,54,62,89,164077,162174,513,102.6,78154,2,1,3,0,1,1,0,LOSS
54,NA1_4162082100,45,29,111,79613,72153,1389,277.8,55391,1,2,2,2,1,1,1,WIN
55,NA1_4162082100,29,45,73,66041,84234,1376,275.2,47468,2,1,3,1,2,1,0,LOSS
56,NA1_4162022382,46,29,131,95696,56570,951,190.2,50735,1,0,3,1,2,0,1,WIN
57,NA1_4162022382,28,46,59,52855,101666,1810,362,42923,0,3,2,1,2,2,0,LOSS
58,NA1_4161487303,76,59,158,204438,193032,1531,306.2,79256,2,4,1,1,0,2,1,WIN
59,NA1_4161487303,57,76,139,169592,215205,1385,277,76804,2,2,1,2,0,2,0,LOSS
60,NA1_4160824003,52,50,99,119881,130200,480,96,76464,1,1,3,2,0,2,1,WIN
61,NA1_4160824003,50,52,96,120059,125333,1280,256,72406,2,0,3,2,1,0,0,LOSS
62,NA1_4160820388,46,34,114,123624,103436,1228,245.6,64802,2,2,3,0,0,2,1,WIN
63,NA1_4160820388,34,46,72,88590,131703,1142,228.4,60304,2,2,2,0,0,2,0,LOSS
64,NA1_4160767361,47,37,128,96486,73852,1487,297.4,55338,1,0,3,2,2,0,1,WIN
65,NA1_4160767361,37,47,71,68132,103801,1326,265.2,53268,3,5,1,0,0,1,0,LOSS
66,NA1_4159527818,46,52,101,107342,137150,1439,287.8,74411,2,2,3,1,1,0,1,WIN
67,NA1_4159527818,52,46,118,126468,122463,1415,283,75167,3,2,1,1,1,0,0,LOSS
68,NA1_4159532429,40,32,82,74647,84875,1352,270.4,55401,2,3,1,1,0,2,1,WIN
69,NA1_4159532429,31,40,78,74569,79290,1692,338.4,53108,0,1,3,2,0,1,0,LOSS
70,NA1_4159480552,43,42,116,107364,145435,592,118.4,70400,1,3,1,1,2,1,1,WIN
71,NA1_4159480552,42,43,113,135557,114643,1034,206.8,67664,1,2,2,1,1,0,0,LOSS
72,NA1_4159454304,68,62,102,183479,180378,1270,254,85420,3,2,2,2,0,0,1,WIN
73,NA1_4159454304,62,68,130,161659,196581,869,173.8,83728,0,0,2,3,2,1,0,LOSS
74,NA1_4158828721,45,36,119,96455,75914,1502,300.4,57932,3,0,2,3,2,0,1,WIN
75,NA1_4158828721,35,45,72,71042,106287,1525,305,54678,4,4,0,1,0,1,0,LOSS
76,NA1_4158797186,55,45,157,159709,143476,1760,352,75630,1,1,2,2,1,1,1,WIN
77,NA1_4158797186,45,55,113,135628,170862,646,129.2,70487,2,3,3,1,1,0,0,LOSS
78,NA1_4158791308,62,45,178,175844,225134,854,170.8,79754,2,2,3,0,1,2,1,WIN
79,NA1_4158791308,45,62,123,206566,186100,559,111.8,73559,0,2,2,1,1,3,0,LOSS
80,NA1_4158726793,38,40,106,129712,100498,1373,274.6,61856,2,1,1,2,1,1,1,WIN
81,NA1_4158726793,40,38,100,93680,141068,775,155,60911,0,0,2,2,3,1,0,LOSS
82,NA1_4157286757,47,39,107,101091,106217,1356,271.2,63370,1,1,2,2,0,1,1,WIN
83,NA1_4157286757,39,47,89,96660,107415,1137,227.4,60147,2,2,3,0,2,0,0,LOSS
84,NA1_4157119683,55,56,137,173866,149990,1054,210.8,81553,2,3,1,1,1,1,1,WIN
85,NA1_4157119683,56,55,130,134894,180336,1220,244,79144,2,2,2,1,1,1,0,LOSS
86,NA1_4156240599,46,39,114,108342,110319,1509,301.8,62951,2,1,3,1,0,1,1,WIN
87,NA1_4156240599,39,46,90,99204,114818,853,170.6,58043,2,0,4,0,1,1,0,LOSS
88,NA1_4156177048,55,35,138,109815,109693,1089,217.8,63460,1,3,2,1,1,2,1,WIN
89,NA1_4156177048,35,55,63,98827,117110,1538,307.6,58393,1,3,2,2,0,1,0,LOSS
90,NA1_4155794203,60,34,157,148582,93399,1743,348.6,66291,2,1,2,1,2,0,1,WIN
91,NA1_4155794203,33,60,81,83115,158474,1254,250.8,57527,1,2,2,1,1,1,0,LOSS
92,NA1_4155800090,40,33,75,72867,80897,1095,219,50905,2,2,1,2,0,1,1,WIN
93,NA1_4155800090,32,40,72,69560,78346,1550,310,46944,2,2,2,2,0,1,0,LOSS
94,NA1_4155446407,57,50,128,135889,125871,947,189.4,73419,1,2,1,2,0,1,1,WIN
95,NA1_4155446407,50,57,97,120658,147258,1016,203.2,70393,2,2,3,1,0,1,0,LOSS
96,NA1_4155454207,37,36,97,91953,122633,1148,229.6,65417,1,3,3,0,1,1,1,WIN
97,NA1_4155454207,36,37,73,108766,98478,936,187.2,62184,2,2,1,1,1,0,0,LOSS
98,NA1_4155389500,55,50,105,120541,128614,1520,304,74756,0,3,1,2,2,0,1,WIN
99,NA1_4155389500,50,55,118,115026,123707,1733,346.6,70789,1,0,1,3,2,0,0,LOSS
100,NA1_4155366153,41,27,130,96396,78246,1331,266.2,62128,0,0,4,1,2,1,1,WIN
101,NA1_4155366153,27,42,67,69802,103958,936,187.2,57030,1,1,2,1,2,2,0,LOSS
102,NA1_4155363286,48,25,149,115304,100539,963,192.6,58709,2,2,1,0,3,1,1,WIN
103,NA1_4155363286,25,48,82,92759,124537,1522,304.4,54027,1,2,2,0,2,3,0,LOSS
104,NA1_4155338373,61,32,181,152993,72774,1333,266.6,65283,1,1,5,1,2,0,1,WIN
105,NA1_4155338373,32,61,60,69892,163944,973,194.6,57184,0,3,3,1,0,3,0,LOSS
106,NA1_4155236546,61,62,103,142605,160374,802,160.4,76650,3,3,0,2,0,1,1,WIN
107,NA1_4155236546,62,61,143,146268,146306,1728,345.6,74229,0,2,2,2,1,0,0,LOSS
108,NA1_4152419649,46,34,127,129417,104793,1174,234.8,65825,1,2,2,2,1,1,1,WIN
109,NA1_4152419649,33,46,77,92700,136906,1216,243.2,61416,2,2,2,1,1,1,0,LOSS
110,NA1_4152417179,56,36,144,130816,90940,1024,204.8,57675,2,0,3,2,1,0,1,WIN
111,NA1_4152417179,36,56,86,78812,137505,1215,243,52289,0,3,2,0,2,3,0,LOSS
112,NA1_4152385492,68,51,162,158214,160435,1643,328.6,76723,1,3,1,1,0,2,1,WIN
113,NA1_4152385492,51,68,119,149262,168249,1075,215,71334,1,2,2,1,1,0,0,LOSS
114,NA1_4152381074,57,54,96,131151,136378,1017,203.4,70791,0,2,1,3,0,1,1,WIN
115,NA1_4152381074,54,57,110,122388,135232,589,117.8,66464,1,0,5,2,1,0,0,LOSS
116,NA1_4151296059,56,53,148,127787,138543,1445,289,71036,1,2,1,2,0,2,1,WIN
117,NA1_4151296059,52,56,103,130831,136612,1487,297.4,67012,3,3,1,2,1,0,0,LOSS
118,NA1_4141369519,80,58,167,249832,172801,1338,267.6,98750,3,1,3,2,0,0,1,WIN
119,NA1_4141369519,58,80,104,163987,272296,909,181.8,92953,2,2,3,0,0,1,0,LOSS
120,NA1_4141363627,65,62,121,165242,196518,1079,215.8,87802,3,1,3,0,1,1,1,WIN
121,NA1_4141363627,60,65,119,163039,171135,1187,237.4,82578,0,0,4,3,0,0,0,LOSS
122,NA1_4139998389,58,39,115,128471,96051,881,176.2,68120,1,1,3,2,1,0,1,WIN
123,NA1_4139998389,39,58,85,92283,139139,1886,377.2,63087,0,0,2,3,2,1,0,LOSS
124,NA1_4140032784,65,52,171,153383,132349,2050,410,68797,2,0,3,1,1,0,1,WIN
125,NA1_4140032784,52,66,110,123994,164702,805,161,65375,2,1,2,1,1,2,0,LOSS
126,NA1_4139965605,48,41,111,132667,115099,1588,317.6,77754,1,1,2,1,2,1,1,WIN
127,NA1_4139965605,41,48,91,101765,137104,1114,222.8,72632,1,1,2,2,2,0,0,LOSS
128,NA1_4139622146,53,53,90,115430,125688,1198,239.6,75364,2,1,1,1,1,1,1,WIN
129,NA1_4139622146,52,53,102,117922,121271,1188,237.6,76716,2,0,3,1,1,0,0,LOSS
130,NA1_4139049884,41,48,93,121938,124086,1380,276,74480,2,2,1,1,2,1,1,WIN
131,NA1_4139049884,48,41,108,113217,132219,1216,243.2,70924,1,1,2,3,0,1,0,LOSS
132,NA1_4139025256,59,43,120,110758,119086,890,178,66605,2,3,2,1,0,1,1,WIN
133,NA1_4139025256,43,59,90,109903,120282,1430,286,62200,3,1,2,1,1,0,0,LOSS
134,NA1_4139011663,34,33,105,96055,83004,1485,297,55741,1,1,2,2,2,2,1,WIN
135,NA1_4139011663,32,34,77,76288,102568,1005,201,52158,0,3,1,1,1,2,0,LOSS
136,NA1_4138957282,54,48,126,132705,139750,863,172.6,69900,2,2,2,2,0,2,1,WIN
137,NA1_4138957282,48,54,108,127515,145825,1445,289,67768,2,2,2,0,2,1,0,LOSS
138,NA1_4138932866,50,51,117,141502,160602,871,174.2,70961,3,1,4,0,2,0,1,WIN
139,NA1_4138932866,51,50,121,149777,161156,1120,224,70233,2,4,2,0,1,1,0,LOSS
140,NA1_4138868355,54,49,121,116951,134396,1194,238.8,73359,1,2,2,2,1,1,1,WIN
141,NA1_4138868355,49,54,112,123029,124453,1164,232.8,71316,2,1,2,1,1,1,0,LOSS
142,NA1_4138782275,57,43,115,241351,156016,902,180.4,97530,2,1,3,3,0,0,1,WIN
143,NA1_4138782275,43,57,70,146733,251341,1188,237.6,92848,1,1,2,2,1,1,0,LOSS
144,NA1_4136356846,35,26,106,93804,95435,1319,263.8,55534,0,2,0,2,2,2,1,WIN
145,NA1_4136356846,26,35,55,85941,101541,1302,260.4,49879,2,3,0,0,0,1,0,LOSS
146,NA1_4136165299,42,36,125,82794,86617,1100,220,56207,1,2,2,1,1,2,1,WIN
147,NA1_4136165299,36,42,83,80097,84996,1839,367.8,50923,1,0,4,1,2,1,0,LOSS
148,NA1_4136141711,49,54,103,136803,122977,1125,225,71268,2,3,2,0,0,1,1,WIN
149,NA1_4136141711,54,49,125,111602,145220,1080,216,66879,3,2,2,1,1,0,0,LOSS
150,NA1_4135456843,35,29,91,91623,118051,1131,226.2,56177,0,2,2,1,1,2,1,WIN
151,NA1_4135456843,29,35,94,111152,98493,1775,355,52266,1,1,3,1,3,1,0,LOSS
152,NA1_4135503271,50,25,119,83189,84479,1092,218.4,62369,2,2,3,1,1,1,1,WIN
153,NA1_4135503271,25,50,59,78868,90459,1055,211,54667,2,1,2,1,1,0,0,LOSS
154,NA1_4134140614,54,44,111,137321,138050,1340,268,76448,2,2,2,2,1,0,1,WIN
155,NA1_4134140614,44,54,98,125856,146705,1360,272,69567,0,3,2,0,2,1,0,LOSS
156,NA1_4134058237,54,38,142,105899,93163,1345,269,62887,1,0,4,2,2,0,1,WIN
157,NA1_4134058237,38,54,77,88361,111058,792,158.4,55847,0,0,3,2,2,0,0,LOSS
158,NA1_4132956286,51,36,124,116902,99227,1393,278.6,63264,1,1,3,1,1,0,1,WIN
159,NA1_4132956286,36,51,94,92339,126592,1719,343.8,58563,3,2,1,2,1,0,0,LOSS
160,NA1_4132961084,78,60,204,202667,214811,1779,355.8,90036,2,2,3,1,1,0,1,WIN
161,NA1_4132961084,60,78,113,201970,224777,1271,254.2,84564,3,3,2,0,1,1,0,LOSS
162,NA1_4132784178,51,46,113,120505,104004,1137,227.4,69203,0,2,1,3,1,1,1,WIN
163,NA1_4132784178,46,51,89,94821,129151,1032,206.4,69205,0,2,1,2,1,1,0,LOSS
164,NA1_4131793422,73,72,147,195284,201661,1305,261,89843,2,1,4,0,1,0,1,WIN
165,NA1_4131793422,72,74,142,188162,204088,1459,291.8,88841,3,1,3,2,0,0,0,LOSS
166,NA1_4131769679,38,15,107,68744,55796,1048,209.6,49995,0,1,3,1,2,1,1,WIN
167,NA1_4131769679,15,38,43,52215,74064,1016,203.2,41062,2,3,0,1,1,1,0,LOSS
168,NA1_4131738710,39,33,101,105185,119801,845,169,64481,1,4,0,1,0,1,1,WIN
169,NA1_4131738710,33,39,87,111981,109057,1146,229.2,58927,1,2,2,0,0,2,0,LOSS
170,NA1_4131374092,48,29,132,104735,78293,970,194,60275,0,2,2,1,2,0,1,WIN
171,NA1_4131374092,29,48,67,71200,113474,873,174.6,52605,1,2,1,1,0,2,0,LOSS
172,NA1_4130294179,45,34,119,91270,112981,1179,235.8,65244,0,2,2,2,1,2,1,WIN
173,NA1_4130294179,34,45,70,96920,96552,1545,309,60415,3,0,4,0,0,1,0,LOSS
174,NA1_4128357038,25,13,52,37490,26654,893,178.6,36281,3,0,3,1,0,0,1,WIN
175,NA1_4128357038,13,25,23,22094,39570,1208,241.6,32361,1,0,2,2,3,1,0,LOSS
176,NA1_4128362261,39,28,80,71029,87233,1284,256.8,49737,2,4,2,1,0,1,1,WIN
177,NA1_4128362261,27,39,69,79720,77209,1422,284.4,43043,3,2,1,2,0,1,0,LOSS
178,NA1_4127917149,60,58,124,150324,176870,963,192.6,75624,1,1,2,1,2,1,1,WIN
179,NA1_4127917149,58,60,123,160466,156539,745,149,73257,1,1,4,1,1,1,0,LOSS
180,NA1_4127943080,37,25,121,81000,72011,1537,307.4,55957,0,2,2,2,2,0,1,WIN
181,NA1_4127943080,25,38,64,60108,84807,1390,278,49589,1,2,1,2,2,1,0,LOSS
182,NA1_4126814552,38,30,83,72248,83275,1018,203.6,55919,0,0,2,3,1,1,1,WIN
183,NA1_4126814552,30,38,56,76817,75085,1271,254.2,51423,0,0,3,2,2,1,0,LOSS
184,NA1_4126769289,46,41,104,122743,121223,1646,329.2,71707,1,1,2,2,3,0,1,WIN
185,NA1_4126769289,41,46,97,115449,131622,950,190,68275,1,2,3,0,1,2,0,LOSS
186,NA1_4125872733,57,41,135,131735,121465,1242,248.4,75049,3,2,2,1,1,0,1,WIN
187,NA1_4125872733,40,57,101,108350,136798,1424,284.8,68946,1,2,2,1,2,1,0,LOSS
188,NA1_4125859056,40,40,84,87943,106751,1247,249.4,59508,2,4,2,1,0,1,1,WIN
189,NA1_4125859056,40,40,102,97538,92866,1604,320.8,58176,0,2,2,1,3,2,0,LOSS
190,NA1_4125845967,78,50,168,190098,167658,1965,393,100196,2,2,1,1,2,2,1,WIN
191,NA1_4125845967,50,78,109,150609,196168,1187,237.4,88421,3,3,1,1,0,2,0,LOSS
192,NA1_4125843254,53,42,132,114354,129784,749,149.8,70709,1,1,3,2,1,1,1,WIN
193,NA1_4125843254,42,53,83,125320,128889,1694,338.8,66118,3,3,0,1,0,2,0,LOSS
194,NA1_4124223596,76,52,134,174316,143484,762,152.4,87677,1,2,2,1,1,1,1,WIN
195,NA1_4124223596,52,76,110,129311,184617,874,174.8,83918,3,2,1,2,1,0,0,LOSS
0,NA1_4170259244,67,62,120,159705,154051,1141,228.2,74952,3,3,2,0,1,0,1,WIN
1,NA1_4170259244,62,67,139,134072,165349,1130,226,71605,1,1,2,1,1,2,0,LOSS
2,NA1_4166413039,55,29,153,93581,81268,1880,376,61038,0,1,3,1,2,0,1,WIN
3,NA1_4166413039,29,55,58,75932,102487,1338,267.6,52017,2,3,1,0,1,2,0,LOSS
4,NA1_4166410915,26,22,71,40388,45904,1303,260.6,36345,0,2,3,1,3,1,1,WIN
5,NA1_4166410915,22,26,50,39779,44549,1338,267.6,35048,2,1,1,3,1,0,0,LOSS
6,NA1_4165107733,86,59,188,184298,171218,1435,287,82237,1,3,2,0,1,1,1,WIN
7,NA1_4165107733,59,86,100,160823,199265,1118,223.6,75556,3,2,3,0,0,1,0,LOSS
8,NA1_4164498027,62,40,138,139395,104073,1356,271.2,61359,2,3,1,2,0,1,1,WIN
9,NA1_4164498027,40,62,104,90044,145879,1076,215.2,53747,2,1,3,1,1,1,0,LOSS
10,NA1_4163581567,64,59,145,131666,213162,1086,217.2,82333,2,3,1,2,0,2,1,WIN
11,NA1_4163581567,58,64,141,200444,148468,1183,236.6,78221,1,2,1,1,0,2,0,LOSS
12,NA1_4162741558,65,52,146,136380,123312,977,195.4,73375,1,0,3,2,4,0,1,WIN
13,NA1_4162741558,52,65,101,112727,141825,1327,265.4,66752,1,1,2,2,1,0,0,LOSS
14,NA1_4161207302,57,36,155,88140,82885,1288,257.6,58129,0,1,2,3,1,0,1,WIN
15,NA1_4161207302,36,57,70,79169,94958,1512,302.4,50167,1,2,2,1,0,2,0,LOSS
16,NA1_4161209736,86,92,170,236724,261949,1316,263.2,99770,3,2,2,1,0,1,1,WIN
17,NA1_4161209736,91,86,218,248741,252068,1269,253.8,99597,1,1,3,1,2,1,0,LOSS
0,NA1_4168554716,55,52,122,129733,129240,832,166.4,74221,2,4,2,0,1,1,1,WIN
1,NA1_4168554716,52,55,98,121403,137097,2190,438,69997,0,2,4,0,2,1,0,LOSS
2,NA1_4168284798,42,36,73,80672,75823,2475,495,57360,3,4,1,0,0,1,1,WIN
3,NA1_4168284798,36,42,101,70385,84289,1388,277.6,54540,1,2,1,3,1,0,0,LOSS
4,NA1_4168261804,50,33,134,103972,98190,991,198.2,61451,2,1,3,2,2,0,1,WIN
5,NA1_4168261804,33,50,78,87903,114786,2059,411.8,53812,1,4,1,0,2,1,0,LOSS
6,NA1_4167707851,38,36,77,102667,108670,1114,222.8,69358,1,3,3,1,0,1,1,WIN
7,NA1_4167707851,36,38,104,96893,107782,1530,306,66056,1,1,2,2,1,1,0,LOSS
8,NA1_4167726479,33,17,73,55265,38879,1286,257.2,44438,0,0,3,3,0,0,1,WIN
9,NA1_4167726479,17,33,50,34315,58158,1278,255.6,36777,1,2,2,1,1,1,0,LOSS
10,NA1_4167017198,48,50,83,123760,130680,1541,308.2,72846,2,3,0,1,0,2,1,WIN
11,NA1_4167017198,50,48,125,114943,127182,1231,246.2,70547,0,1,3,3,1,0,0,LOSS
12,NA1_4166630584,44,31,119,97517,93027,1451,290.2,56771,0,2,2,1,1,1,1,WIN
13,NA1_4166630584,31,44,88,86472,103649,1406,281.2,51110,0,2,2,2,2,1,0,LOSS
14,NA1_4165992259,64,68,101,131485,193574,1790,358,79857,1,3,2,0,1,2,1,WIN
15,NA1_4165992259,68,64,142,180883,141849,989,197.8,80404,4,2,1,2,0,0,0,LOSS
16,NA1_4165879774,46,36,119,104806,117612,1010,202,59883,2,3,1,1,0,1,1,WIN
17,NA1_4165879774,36,46,80,104201,110873,1977,395.4,56344,2,3,3,0,0,2,0,LOSS
18,NA1_4165357779,63,44,156,153516,180599,1608,321.6,77723,0,4,2,0,1,3,1,WIN
19,NA1_4165357779,44,63,108,163999,158033,1414,282.8,72828,0,2,2,2,0,2,0,LOSS
20,NA1_4164746582,50,43,108,119337,116117,1916,383.2,67217,1,2,2,2,2,1,1,WIN
21,NA1_4164746582,43,51,67,109132,134019,1390,278,62971,2,4,1,1,0,1,0,LOSS
22,NA1_4163536678,55,59,123,164598,197387,1580,316,80190,1,4,2,0,1,2,1,WIN
23,NA1_4163536678,59,55,150,180127,173884,1364,272.8,77893,3,1,3,1,1,0,0,LOSS
24,NA1_4162948166,71,39,192,263367,168914,1533,306.6,92859,2,0,2,1,2,0,1,WIN
25,NA1_4162948166,39,71,80,159027,277673,1673,334.6,87968,1,1,1,2,1,1,0,LOSS
26,NA1_4161205244,47,26,133,98457,111480,1474,294.8,64061,0,2,3,0,4,1,1,WIN
27,NA1_4161205244,26,47,54,96937,107949,1278,255.6,57122,1,1,4,1,0,2,0,LOSS
28,NA1_4160497881,53,40,124,116987,116090,1567,313.4,68063,0,3,2,2,0,1,1,WIN
29,NA1_4160497881,40,53,77,108471,127448,1105,221,64804,1,1,1,3,0,1,0,LOSS
30,NA1_4160476862,40,27,79,84141,61622,1514,302.8,51947,2,1,4,0,1,0,1,WIN
31,NA1_4160476862,27,40,50,51500,87787,1576,315.2,46193,1,1,2,2,1,0,0,LOSS
32,NA1_4160493988,50,32,120,97058,74877,1076,215.2,60458,2,0,2,3,1,0,1,WIN
33,NA1_4160493988,32,50,68,71907,101114,1948,389.6,54564,0,2,2,2,1,1,0,LOSS
34,NA1_4160251375,76,59,202,300089,246039,1607,321.4,100863,2,2,4,0,1,0,1,WIN
35,NA1_4160251375,59,76,145,232579,318105,565,113,99431,1,2,0,2,2,2,0,LOSS
36,NA1_4159402286,42,24,126,67098,77109,1829,365.8,51622,1,2,2,0,3,2,1,WIN
37,NA1_4159402286,24,42,54,69084,74444,1353,270.6,46035,1,3,1,1,0,1,0,LOSS
38,NA1_4159349373,52,42,114,120032,134197,1305,261,65403,2,4,2,0,1,1,1,WIN
39,NA1_4159349373,42,52,104,118109,125001,1307,261.4,61400,3,2,0,2,1,2,0,LOSS
40,NA1_4159363880,58,46,135,150719,138935,1103,220.6,72330,0,2,2,1,1,3,1,WIN
41,NA1_4159363880,46,58,103,128609,162954,1908,381.6,66008,1,1,2,1,2,1,0,LOSS
42,NA1_4159257483,51,53,116,122248,172006,1537,307.4,67753,0,2,2,2,1,2,1,WIN
43,NA1_4159257483,53,51,112,152561,128702,1111,222.2,66870,1,0,3,3,1,1,0,LOSS
44,NA1_4158800849,56,38,123,115048,92945,1670,334,63758,2,1,0,2,0,1,1,WIN
45,NA1_4158800849,37,56,80,80553,122951,815,163,59170,1,3,2,0,3,0,0,LOSS
46,NA1_4158384120,64,60,111,164439,206330,1633,326.6,89390,1,0,4,1,2,1,1,WIN
47,NA1_4158384120,60,64,150,190781,172598,1532,306.4,92351,0,1,2,2,2,0,0,LOSS
48,NA1_4158342255,59,45,136,152968,149163,782,156.4,70067,1,3,1,1,0,2,1,WIN
49,NA1_4158342255,45,59,113,130311,159517,1504,300.8,63047,0,1,4,1,2,1,0,LOSS
50,NA1_4158325636,49,55,107,165053,174833,1587,317.4,76517,3,2,2,1,1,0,1,WIN
51,NA1_4158325636,54,49,124,154941,171668,1414,282.8,72226,1,1,3,1,2,1,0,LOSS
52,NA1_4158322312,55,37,115,120164,112822,1043,208.6,69533,1,0,4,3,0,1,1,WIN
53,NA1_4158322312,37,55,86,109025,126904,2031,406.2,63189,2,1,3,0,2,0,0,LOSS
54,NA1_4158177097,69,67,166,291897,262810,536,107.2,96458,1,2,2,1,2,1,1,WIN
55,NA1_4158177097,67,69,176,237480,314901,1440,288,96193,0,3,1,1,1,3,0,LOSS
56,NA1_4157749060,56,43,131,139835,157267,1823,364.6,71966,0,2,3,0,1,2,1,WIN
